position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
Emperor,Naruhito,Q217096,2019-05-01,male,1960-02-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20Naruhito%20and%20Empress%20Masako%20%28cropped%29.jpg
Prime Minister,Fumio Kishida,Q359480,2021-10-04,male,1957-07-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fumio%20Kishida%2020211004.jpg
"Minister of Economy, Trade and Industry",Koichi Hagiuda,Q6426211,2021-10-04,male,1963-08-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Koichi%20Hagiuda%20201608.jpg
Minister of Finance,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shunichi%20Suzuki%20cropped%202%20Shunichi%20Suzuki%20and%20Yukiya%20Amano%2020130701.jpg
Minister of State for Consumer Affairs and Food Safety,Kenji Wakamiya,Q6389383,2021-10-04,male,1961-09-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wakamiya%20Kenji.jpg
Minister of State for Disaster Management,Satoshi Ninoyu,Q7426414,2021-10-04,male,1944-09-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/06ninoyu.jpg
Minister of State for Economic and Fiscal Policy,Daishiro Yamagiwa,Q5209617,2021-10-04,male,1968-09-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/211005yamagiwa.png
Minister of State for Financial Services,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Shunichi%20Suzuki%20cropped%202%20Shunichi%20Suzuki%20and%20Yukiya%20Amano%2020130701.jpg
Minister of State for Nuclear Emergency Preparedness,Tsuyoshi Yamaguchi,Q704345,2021-10-04,male,1954-10-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tsuyoshi%20Yamaguchi%20cropped.jpg
Minister of State for Okinawa and Northern Territories Affairs,Kosaburo Nishime,Q11629931,2021-10-04,male,1954-08-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/98%20nishime%20kousaburou.jpg
Minister of State for the Promotion of Overcoming Population Decline and Vitalizing Local Economy in Japan,Seiko Noda,Q459698,2021-10-04,female,1960-09-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Seiko%20Noda%2020171101.jpg
Chief Cabinet Secretary,Hirokazu Matsuno,Q5770251,2021-10-04,male,1962-09-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hirokazu%20Matsuno.jpg
Chief Justice,Naoto Ōtani,Q11439136,2018-01-01,male,1952-06-23,11,,,
Director of Cabinet Intelligence,Hiroaki Takizawa,Q69634994,2019-09-11,male,1959-01-01,9,,,
Superintendent General,Yoshihiko Oishi,Q92672207,2021-09-16,male,,,,,
Commissioner for Cultural Affairs,Shunichi Tokura,Q11643484,2021-04-01,male,1948-06-21,11,,,
Governor of the Bank of Japan,Haruhiko Kuroda,Q5244721,2013-03-20,male,1944-10-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Haruhiko%20Kuroda%20at%20ADB%20Philippines%20%28crop%29.jpg
President of the House of Councillors,Akiko Santō,Q3546202,2019-08-01,female,1942-05-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Delega%C3%A7%C3%A3o%20oficial%20da%20C%C3%A2mara%20dos%20Conselheiros%20do%20Jap%C3%A3o%20%2849363497538%29.jpg
Speaker of the House of Representatives,Tadamori Oshima,Q49998,2015-04-21,male,1946-09-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%27s%20Birthsday%20Party%202016%20%2826830017170%29.jpg
Speaker of the House of Representatives,Hiroyuki Hosoda,Q1133192,2021-11-10,male,1944-04-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroyuki%20Hosoda%20in%20New%20Delhi%20on%2023%20September%202016.jpg
