position,title
Q11634582,Senior Vice Minister
Q14917211,Minister of Education
Q11612810,Minister of Home Affairs
Q11065521,Minister of Infrastructure
Q108528514,Minister of Ocean Policy
Q11394667,"Minister of State for ""Challenge Again"" Initiative"
Q11394685,Minister of State for Disaster Management
Q2325078,Minister of State for Gender Equality and Social Affairs
Q245696,Minister of State for Special Missions
Q11394666,Minister of State for the New Public Commons
Q11394668,Minister of State for Personal Information Protection
Q11394669,Minister of State for the Corporation in Support of Compensation for Nuclear Damage
Q11394670,Minister of State for the Nuclear Power Policy and Administration
Q11394673,Minister of State for Decentralization Reform
Q11394677,Minister of State for Industrial Revitalization Corporation of Japan
Q11394688,Minister of State for Food Safety
Q17224467,Minister of State for the National Strategic Special Zones
Q27972427,Minister of State for Quality-of-Life Policy
Q30925951,Minister of State for the Social Security and Tax Number System
Q108294861,Minister in charge of Information Technology Policy
Q11500124,"Deputy Minister of Education, Culture, Sports, Science and Technology"
Q11515703,Justice of the Supreme Court
Q28871679,Vice-President of the House of Councillors
Q91743053,ambassador to Afghanistan
Q106300892,ambassador to Angola
Q112232812,ambassador to Argentina
Q48283000,ambassador to Australia
Q48294109,ambassador to Azerbaijan
Q112234810,ambassador to Bahrain
Q48292347,ambassador to Bangladesh
Q48294158,ambassador to Belarus
Q73434302,ambassador to Belgium
Q48294137,ambassador to Botswana
Q48282987,ambassador to Brazil
Q112234554,ambassador to Brunei
Q48283019,ambassador to Bulgaria
Q48280891,ambassador to Canada
Q48359275,ambassador to Chile
Q112234645,ambassador to Colombia
Q48294129,ambassador to Croatia
Q48294151,ambassador to Cyprus
Q62598809,ambassador to Djibouti
Q112234379,ambassador to the Dominican Republic
Q112234724,ambassador to East Timor
Q112232084,ambassador to Ecuador
Q48282981,ambassador to Egypt
Q48294123,ambassador to Ethiopia
Q48256414,ambassador to France
Q62598810,ambassador to Georgia
Q48082522,ambassador to Germany
Q112232898,ambassador to Guinea
Q101069550,ambassador to Hungary
Q112234690,ambassador to Iceland
Q62598805,ambassador to India
Q48292340,ambassador to Indonesia
Q48281877,ambassador to Iran
Q112232669,ambassador to Italy
Q48294115,ambassador to Côte d'Ivoire
Q62598808,ambassador to Kazakhstan
Q77498293,ambassador to Malaysia
Q112233147,ambassador to Malta
Q50324089,ambassador to Mexico
Q48294144,ambassador to Mongolia
Q112234828,ambassador to Myanmar
Q112234865,ambassador to the Netherlands
Q48282993,ambassador to New Zealand
Q48281869,ambassador to Norway
Q50300986,ambassador to Pakistan
Q112234537,ambassador to Panama
Q112234847,ambassador to Paraguay
Q48292374,ambassador to the People's Republic of China
Q62598806,ambassador to Peru
Q112233046,ambassador to the Philippines
Q48280894,ambassador to Poland
Q112232933,ambassador to Ireland
Q112234903,ambassador to the Republic of the Congo
Q106249759,ambassador to Romania
Q30504438,ambassador to the Russian Federation
Q112234894,ambassador to Samoa
Q48283006,ambassador to Saudi Arabia
Q48292389,ambassador to Slovakia
Q48292381,ambassador to South Africa
Q19603685,ambassador to South Korea
Q48282975,ambassador to Spain
Q48281863,ambassador to Sweden
Q48283013,ambassador to Switzerland
Q110638939,ambassador to Taiwan
Q112234883,ambassador to Tanzania
Q30504474,ambassador to Thailand
Q48976028,ambassador to Turkey
Q48292366,ambassador to Ukraine
Q30504424,ambassador to the United Kingdom
Q16147003,ambassador to the United States of America
Q30158538,ambassador to Uruguay
Q48292357,ambassador to Uzbekistan
Q112233158,ambassador to the Holy See
Q112232329,ambassador to Venezuela
Q112234666,ambassador to Vietnam
Q112234704,ambassador to Zambia
