wdid,name,wdLabel,source,sourceDate,pid,position,psid
Q1141271,HAYASHI Yoshimasa,Yoshimasa Hayashi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q1355043,Minister for Foreign Affairs,Q1141271-92DD23C0-C89D-4006-8B28-0924D416C519
Q11427301,HORIUCHI Noriko,Noriko Horiuchi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q60987344,Minister for the Tokyo Olympic and Paralympic Games,Q11427301-1C775070-2031-4205-A204-D7EA79A0E362
Q11427301,HORIUCHI Noriko,Noriko Horiuchi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11567297,Minister in Charge of Promoting Vaccinations,Q11427301-88A93F8D-72DC-4EF1-AA3D-BDE415B37B09
Q11461955,KOBAYASHI Takayuki,Takayuki Kobayashi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109542284,Minister in charge of Economic Security,Q11461955-31AA675D-4132-4896-99D6-F5B3A53581FA
Q11461955,KOBAYASHI Takayuki,Takayuki Kobayashi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394674,Minister of State for Space Policy,Q11461955-FCEE465B-818E-4228-9050-5A80129481BA
Q11461955,KOBAYASHI Takayuki,Takayuki Kobayashi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394679,Minister of State for Science and Technology Policy,Q11461955-f9653bdd-4e3e-d7b0-df04-56df37a7c25f
Q11570409,MAKISHIMA Karen,Karen Makishima,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q108373704,Minister for Digital Transformation,Q11570409-42773053-4c0f-082d-4a71-1d9a1caf5060
Q11570409,MAKISHIMA Karen,Karen Makishima,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109542214,Minister in charge of Administrative Reform,Q11570409-9DC4739F-BED9-4809-86D4-ADC0740A7D12
Q11570409,MAKISHIMA Karen,Karen Makishima,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394684,Minister of State for Regulatory Reform,Q11570409-f1ca7c9c-4a60-25b6-5fac-7006959251d2
Q11629931,NISHIME Kosaburo,Kosaburo Nishime,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394675,Minister of State for Okinawa and Northern Territories Affairs,Q11629931-6ED57429-6EDF-435A-AA17-E7307788134D
Q11629931,NISHIME Kosaburo,Kosaburo Nishime,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971615,Minister in charge of Comprehensive Policy Coordination for Revival from the Nuclear Accident at Fukushima,Q11629931-96A61B79-1AE0-4739-A1E6-1F7AA2A9D57E
Q11629931,NISHIME Kosaburo,Kosaburo Nishime,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q2115794,Minister for Reconstruction,Q11629931-bfe2a389-496f-1beb-e08b-551f34a3f761
Q1502275,KANEKO Genjiro,Genjirō Kaneko,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q8191055,"Minister of Agriculture, Forestry and Fisheries",Q1502275-d7808e01-4d74-84f6-06cc-270d005ded6e
Q1995125,KISHI Nobuo,Nobuo Kishi,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q6500838,Minister of Defense,Q1995125-235A0E68-A2D7-4E95-8E33-A2FE7EB5355E
Q3482658,SUZUKI Shunichi,Shun'ichi Suzuki,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q6500849,Minister of Finance,Q3482658-38706FB6-2992-4B66-9DAF-69A52D1394D8
Q3482658,SUZUKI Shunichi,Shun'ichi Suzuki,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394683,Minister of State for Financial Services,Q3482658-97B7747A-DBE0-4EE1-850C-897F3CE1631C
Q3482658,SUZUKI Shunichi,Shun'ichi Suzuki,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q28683724,Minister in charge of Overcoming Deflation,Q3482658-D44ED133-BCE7-4208-ABDC-B9673311F2D6
Q359480,KISHIDA Fumio,Fumio Kishida,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q274948,Prime Minister,Q359480-d64e4cec-497a-0651-7855-065fc09d02db
Q459698,NODA Seiko,Seiko Noda,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q108784227,Minister in Charge of Women's Empowerment,Q459698-73BE37ED-A3A6-4026-BA87-4BDE494A2968
Q459698,NODA Seiko,Seiko Noda,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q17224475,Minister of State for Measures for Declining Birthrate,Q459698-9B47CE51-388C-4BB1-8B25-1322A967CB69
Q459698,NODA Seiko,Seiko Noda,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971549,Minister in Charge of Measures for Loneliness and Isolation,Q459698-B1257F3D-3354-4509-82A4-2E3CEDE8C333
Q459698,NODA Seiko,Seiko Noda,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q20041398,Minister of State for Regional Revitalization,Q459698-B7B13713-416E-4C9B-BCD8-F4A00922AA71
Q459698,NODA Seiko,Seiko Noda,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394678,Minister of State for Gender Equality,Q459698-B8BDB5FF-AB21-48BE-B5C7-CC8BC0D7F41C
Q459698,NODA Seiko,Seiko Noda,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971557,Minister in Charge of Policies Related to Children,Q459698-F0FAE496-59E2-47BF-A430-A57332248C8D
Q5209617,YAMAGIWA Daishiro,Daishiro Yamagiwa,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971605,Minister in charge of New Capitalism,Q5209617-268F8B6F-684B-43B5-98D1-791050DA863E
Q5209617,YAMAGIWA Daishiro,Daishiro Yamagiwa,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q108784545,Minister in charge of Economic Revitalization,Q5209617-3861B498-9FE6-4809-92EA-C20C4A7A6DBE
Q5209617,YAMAGIWA Daishiro,Daishiro Yamagiwa,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971606,Minister in charge of Social Security Reform,Q5209617-7854519E-7050-4AE8-8B3A-9D5FBF95232A
Q5209617,YAMAGIWA Daishiro,Daishiro Yamagiwa,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971607,Minister in charge of Measures for Novel Coronavirus Disease andHealth Crisis Management,Q5209617-B6F5973E-9983-45B2-8F64-EE937A289AF1
Q5209617,YAMAGIWA Daishiro,Daishiro Yamagiwa,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q11394680,Minister of State for Economic and Fiscal Policy,Q5209617-FA0F90F8-0D29-4728-B478-B666D5D7CB60
Q5770251,MATSUNO Hirokazu,Hirokazu Matsuno,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q1078482,Chief Cabinet Secretary,Q5770251-32F73579-B29C-4F39-9AF9-05BC151FF3C0
Q5770251,MATSUNO Hirokazu,Hirokazu Matsuno,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109542046,Minister in charge of Mitigating the Impact of U.S. Forces in Okinawa,Q5770251-C93EFB47-9674-4627-8399-A66976DFA804
Q5770251,MATSUNO Hirokazu,Hirokazu Matsuno,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109542057,Minister in charge of the Abductions Issue,Q5770251-E899F60E-290E-4DDA-8306-15CF690F8291
Q6389383,WAKAMIYA Kenji,Kenji Wakamiya,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q108784497,Minister for the World Expo 2025,Q6389383-01743E4D-1D73-475D-BC43-A169D4FA339B
Q6389383,WAKAMIYA Kenji,Kenji Wakamiya,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q108784529,Minister of State for Intellectual Property Strategy,Q6389383-030F5120-4D8E-4965-8AFC-85F066D51F5E
Q6389383,WAKAMIYA Kenji,Kenji Wakamiya,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109972549,Minister in Charge of Overcoming Population Decline and Vitalizing Local Economy,Q6389383-0BEE8471-9C7A-4CCF-AACC-8509E6C06138
Q6389383,WAKAMIYA Kenji,Kenji Wakamiya,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q6866352,Minister of State for Consumer Affairs and Food Safety,Q6389383-119DB2E5-F01B-47DC-8E2B-6B3641145E47
Q6389383,WAKAMIYA Kenji,Kenji Wakamiya,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109542340,Minister in Charge of Digital Garden City Nation Vision,Q6389383-4FCD71BF-D123-4643-AD15-82E9A14F192B
Q6389383,WAKAMIYA Kenji,Kenji Wakamiya,https://japan.kantei.go.jp/101_kishida/meibo/daijin/index_e.html,2021-12-07,Q109971756,Minister in Charge of Cohesive Society,Q6389383-E29467C7-CAB3-47B8-BD6E-C5CB9A2890F4
