name,position
KISHIDA Fumio,Prime Minister
MATSUNO Hirokazu,Chief Cabinet Secretary
MATSUNO Hirokazu,Minister in Charge of Mitigating the Impact of U.S. Forces in Okinawa
MATSUNO Hirokazu,Minister in Charge of the Abductions Issue
SUZUKI Shunichi,Minister of State for Financial Services
SUZUKI Shunichi,Minister of Finance
SUZUKI Shunichi,Minister in Charge of Overcoming Deflation
HAGIUDA Koichi,Minister of State for the Nuclear Damage Compensation and Decommissioning Facilitation Corporation
HAGIUDA Koichi,"Minister of Economy, Trade and Industry"
HAGIUDA Koichi,Minister in Charge of Industrial Competitiveness
HAGIUDA Koichi,Minister for Economic Cooperation with Russia
HAGIUDA Koichi,Minister in Charge of the Response to the Economic Impact caused by the Nuclear Accident
YAMAGUCHI Tsuyoshi,Minister of State for Nuclear Emergency Preparedness
YAMAGUCHI Tsuyoshi,Minister of the Environment
MAKISHIMA Karen,Minister of State for Regulatory Reform
MAKISHIMA Karen,Minister for Digital Agency
MAKISHIMA Karen,Minister in Charge of Administrative Reform
NISHIME Kosaburo,Minister of State for Okinawa and Northern Territories Affairs
NISHIME Kosaburo,Minister for Reconstruction
NISHIME Kosaburo,Minister in Charge of Comprehensive Policy Coordination for Revival from the Nuclear Accident at Fukushima
NINOYU Satoshi,Minister of State for Disaster Management and Ocean Policy
NINOYU Satoshi,Chairperson of the National Public Safety Commission
NINOYU Satoshi,Minister in Charge of Building National Resilience
NINOYU Satoshi,Minister in Charge of Territorial Issues
NINOYU Satoshi,Minister in Charge of Civil Service Reform
NODA Seiko,Minister of State for Regional Revitalization
NODA Seiko,Minister of State for Measures for Declining Birthrate
NODA Seiko,Minister of State for Gender Equality
NODA Seiko,Minister in Charge of Women's Empowerment
NODA Seiko,Minister in Charge of Policies Related to Children
NODA Seiko,Minister in Charge of Measures for Loneliness and Isolation
YAMAGIWA Daishiro,Minister of State for Economic and Fiscal Policy
YAMAGIWA Daishiro,Minister in Charge of Economic Revitalization
YAMAGIWA Daishiro,Minister in Charge of New Capitalism
YAMAGIWA Daishiro,Minister in Charge of Measures for Novel Coronavirus Disease and Health Crisis Management
YAMAGIWA Daishiro,Minister in Charge of Social Security Reform
KOBAYASHI Takayuki,Minister of State for Science and Technology Policy
KOBAYASHI Takayuki,Minister of State for Space Policy
KOBAYASHI Takayuki,Minister in Charge of Economic Security
WAKAMIYA Kenji,"Minister of State for Special Mission（Consumer Affairs and Food Safety,Cool Japan Strategy,Intellectual Property Strategy）"
WAKAMIYA Kenji,Minister for the World Expo 2025
WAKAMIYA Kenji,Minister in Charge of Digital Garden City Nation Vision
WAKAMIYA Kenji,Minister in Charge of Policies on Cohesive Society
OHNO Keitaro,State Minister
KIKAWADA Hitoshi,State Minister
AKAIKE Masaaki,State Minister
KOTERA Hiroo,Parliamentary Vice-Minister
MIYAJI Takuma,Parliamentary Vice-Minister
MUNEKIYO Kouichi,Parliamentary Vice-Minister
